iter	Passed	Remaining
0	9	9157
1	10	5390
2	12	4260
3	14	3625
4	16	3219
5	18	2997
6	19	2791
7	21	2640
8	22	2460
9	24	2386
10	26	2358
11	28	2320
12	29	2265
13	30	2163
14	32	2153
15	34	2132
16	35	2081
17	37	2052
18	38	2012
19	40	1963
20	41	1931
21	42	1867
22	42	1822
23	44	1809
24	47	1840
25	48	1829
26	50	1826
27	52	1806
28	53	1793
29	55	1791
30	56	1776
31	58	1769
32	59	1755
33	60	1728
34	62	1731
35	65	1743
36	66	1743
37	68	1738
38	70	1726
39	71	1705
40	72	1692
41	74	1699
42	75	1679
43	76	1663
44	77	1643
45	78	1628
46	79	1613
47	80	1595
48	81	1587
49	83	1580
50	84	1570
51	85	1561
52	87	1555
53	88	1546
54	89	1537
55	90	1529
56	91	1519
57	92	1507
58	93	1497
59	94	1486
60	95	1473
61	96	1460
62	97	1448
63	98	1438
64	99	1428
65	100	1418
66	100	1404
67	101	1393
68	102	1381
69	103	1368
70	103	1357
71	104	1346
72	105	1335
73	105	1325
74	106	1314
75	107	1304
76	107	1293
77	108	1282
78	109	1272
79	109	1262
80	110	1251
81	110	1240
82	111	1228
83	111	1219
84	112	1209
85	112	1200
86	113	1192
87	114	1184
88	114	1175
89	115	1166
90	116	1158
91	116	1150
92	117	1143
93	117	1135
94	118	1127
95	118	1120
96	119	1113
97	120	1106
98	120	1100
99	121	1094
100	122	1087
101	122	1080
102	123	1074
103	123	1067
104	124	1062
105	125	1056
106	125	1050
107	126	1042
108	126	1036
109	127	1030
110	128	1025
111	128	1019
112	129	1014
113	129	1009
114	130	1004
115	131	998
116	131	992
117	132	987
118	132	983
119	133	977
120	133	972
121	134	965
122	134	960
123	135	954
124	135	949
125	136	945
126	136	940
127	137	937
128	138	932
129	138	928
130	139	923
131	139	920
132	140	916
133	141	912
134	141	907
135	142	903
136	142	899
137	143	895
138	144	892
139	144	888
140	145	884
141	145	879
142	146	875
143	146	872
144	147	867
145	147	864
146	148	859
147	148	856
148	149	852
149	149	849
150	150	845
151	151	843
152	151	840
153	152	836
154	152	833
155	153	830
156	154	827
157	154	824
158	155	821
159	155	818
160	156	813
161	156	810
162	157	807
163	157	804
164	158	801
165	159	800
166	160	799
167	160	796
168	161	794
169	162	791
170	162	788
171	163	786
172	163	783
173	164	780
174	165	778
175	165	775
176	166	773
177	166	771
178	167	768
179	168	765
180	168	763
181	169	761
182	169	758
183	170	756
184	171	753
185	171	751
186	172	749
187	172	746
188	173	744
189	174	742
190	174	740
191	175	738
192	176	736
193	176	733
194	177	731
195	177	729
196	178	727
197	179	725
198	179	723
199	180	720
200	180	719
201	181	717
202	182	715
203	182	713
204	183	711
205	183	709
206	184	707
207	185	704
208	185	703
209	186	701
210	187	700
211	187	698
212	188	697
213	189	696
214	190	695
215	191	694
216	191	692
217	192	690
218	193	689
219	194	688
220	194	686
221	195	685
222	196	684
223	197	683
224	197	681
225	198	680
226	199	678
227	200	677
228	200	675
229	201	674
230	202	672
231	202	671
232	203	669
233	204	668
234	204	667
235	205	665
236	206	663
237	206	662
238	207	660
239	208	659
240	208	657
241	209	656
242	210	654
243	210	653
244	211	651
245	212	650
246	213	649
247	213	648
248	214	646
249	215	645
250	215	643
251	216	641
252	216	640
253	217	638
254	218	637
255	218	636
256	219	635
257	220	634
258	221	632
259	221	631
260	222	629
261	223	628
262	223	626
263	224	625
264	224	623
265	225	622
266	226	621
267	227	620
268	227	619
269	228	618
270	229	617
271	230	615
272	230	614
273	231	612
274	231	611
275	232	610
276	233	608
277	234	607
278	234	606
279	235	605
280	236	604
281	236	602
282	237	602
283	238	600
284	239	599
285	239	598
286	240	597
287	240	595
288	241	594
289	242	593
290	242	591
291	243	590
292	244	588
293	244	587
294	245	586
295	246	585
296	246	583
297	247	582
298	247	581
299	248	580
300	249	578
301	249	577
302	250	576
303	250	574
304	251	573
305	252	571
306	252	570
307	253	569
308	253	567
309	254	566
310	254	564
311	255	563
312	256	562
313	256	561
314	257	559
315	258	558
316	258	557
317	259	555
318	259	554
319	260	553
320	260	551
321	261	550
322	261	548
323	262	547
324	262	546
325	263	544
326	264	544
327	264	542
328	265	541
329	266	540
330	266	539
331	267	537
332	267	536
333	268	535
334	268	533
335	269	532
336	270	531
337	270	530
338	271	528
339	272	528
340	272	526
341	273	525
342	273	524
343	274	523
344	275	522
345	275	521
346	276	519
347	276	518
348	277	517
349	277	515
350	278	514
351	279	513
352	279	512
353	280	511
354	280	510
355	281	509
356	282	507
357	282	506
358	283	505
359	283	504
360	284	503
361	284	502
362	285	501
363	286	500
364	286	499
365	287	498
366	288	497
367	288	496
368	289	495
369	290	494
370	290	492
371	291	491
372	291	490
373	292	489
374	293	488
375	293	487
376	294	486
377	295	485
378	295	484
379	296	483
380	296	482
381	297	480
382	297	479
383	298	478
384	299	477
385	299	476
386	300	475
387	300	474
388	301	473
389	301	472
390	302	471
391	303	470
392	303	469
393	304	468
394	305	467
395	305	466
396	306	465
397	307	464
398	307	463
399	308	462
400	309	461
401	309	460
402	310	459
403	310	458
404	311	457
405	312	456
406	312	455
407	313	454
408	313	453
409	314	452
410	315	451
411	315	450
412	316	449
413	316	448
414	317	447
415	317	446
416	318	445
417	319	444
418	319	443
419	320	442
420	320	441
421	321	440
422	322	439
423	322	438
424	323	437
425	323	436
426	324	435
427	325	434
428	325	433
429	326	432
430	326	431
431	327	430
432	328	429
433	328	428
434	329	427
435	329	426
436	330	425
437	330	424
438	331	423
439	332	422
440	332	421
441	333	420
442	333	419
443	334	418
444	335	417
445	335	416
446	336	415
447	336	414
448	337	414
449	337	412
450	338	412
451	339	411
452	339	410
453	340	409
454	340	408
455	341	407
456	341	406
457	342	405
458	342	404
459	343	403
460	343	402
461	344	401
462	345	400
463	345	399
464	346	398
465	347	397
466	347	396
467	348	396
468	348	395
469	349	394
470	350	393
471	350	392
472	351	391
473	351	390
474	352	389
475	352	388
476	353	387
477	353	386
478	354	385
479	355	384
480	355	383
481	356	383
482	356	382
483	357	381
484	358	380
485	358	379
486	359	378
487	359	377
488	360	376
489	361	376
490	361	375
491	362	374
492	363	373
493	363	372
494	364	371
495	364	370
496	365	369
497	365	368
498	366	368
499	367	367
500	367	366
501	368	365
502	368	364
503	369	363
504	370	362
505	370	361
506	371	360
507	371	360
508	372	359
509	372	358
510	373	357
511	374	356
512	374	355
513	375	354
514	375	353
515	376	353
516	376	352
517	377	351
518	378	350
519	378	349
520	379	348
521	379	347
522	380	347
523	381	346
524	381	345
525	382	344
526	383	343
527	383	342
528	384	342
529	384	341
530	385	340
531	386	339
532	386	338
533	387	337
534	387	337
535	388	336
