iter	Passed	Remaining
0	144	144429
1	145	72709
2	146	48670
3	146	36600
4	147	29350
5	148	24546
6	148	21102
7	149	18532
8	150	16542
9	152	15049
10	153	13773
11	153	12671
12	154	11743
13	155	10935
14	155	10235
15	156	9630
16	158	9148
17	159	8726
18	161	8335
19	162	7941
20	162	7584
21	163	7272
22	164	7001
23	166	6768
24	167	6518
25	167	6293
26	169	6109
27	170	5904
28	170	5711
29	171	5543
30	172	5402
31	173	5246
32	174	5102
33	175	4974
34	175	4841
35	176	4723
36	177	4616
37	177	4503
38	178	4403
39	179	4300
40	179	4205
41	181	4144
42	182	4067
43	183	3984
44	183	3904
45	184	3835
46	186	3771
47	186	3704
48	187	3648
49	188	3587
50	189	3527
51	190	3468
52	190	3408
53	191	3355
54	192	3308
55	193	3258
56	194	3221
57	195	3174
58	196	3126
59	196	3080
60	197	3040
61	198	3005
62	199	2962
63	199	2920
64	200	2884
65	201	2849
66	201	2812
67	202	2771
68	203	2739
69	204	2711
70	204	2677
71	205	2643
72	206	2617
73	206	2585
74	207	2555
75	207	2524
76	208	2499
77	209	2471
78	209	2443
79	210	2419
80	210	2393
81	211	2367
82	212	2342
83	212	2318
84	212	2292
85	213	2268
86	213	2243
87	214	2221
88	214	2198
89	215	2177
90	215	2156
91	216	2136
92	216	2115
93	217	2095
94	217	2075
95	218	2058
96	219	2040
97	219	2022
98	220	2004
99	221	1989
100	221	1973
101	222	1955
102	222	1938
103	223	1922
104	223	1906
105	224	1890
106	224	1875
107	225	1860
108	225	1845
109	226	1831
110	226	1817
111	227	1802
112	227	1789
113	228	1775
114	228	1761
115	229	1748
116	229	1734
117	230	1722
118	230	1708
119	231	1696
120	231	1684
121	232	1672
122	232	1659
123	233	1647
124	233	1635
125	234	1624
126	234	1614
127	235	1602
128	235	1590
129	236	1580
130	236	1570
131	237	1559
132	237	1549
133	238	1539
134	238	1529
135	239	1519
136	239	1510
137	240	1500
138	240	1491
139	241	1482
140	241	1473
141	242	1464
142	242	1455
143	243	1446
144	243	1438
145	244	1429
146	244	1421
147	245	1413
148	245	1404
149	246	1396
150	246	1388
151	247	1380
152	247	1372
153	248	1365
154	249	1357
155	249	1350
156	249	1342
157	250	1335
158	251	1327
159	251	1320
160	252	1313
161	252	1306
162	253	1299
163	253	1293
164	254	1286
165	254	1280
166	255	1273
167	255	1267
168	256	1260
169	256	1254
170	257	1248
171	258	1242
172	258	1236
173	259	1230
174	259	1224
175	260	1218
176	260	1212
177	261	1207
178	261	1201
179	262	1195
180	262	1188
181	263	1183
182	263	1177
183	264	1172
184	264	1167
185	265	1161
186	266	1156
187	266	1151
188	267	1146
189	267	1140
190	268	1135
191	268	1130
192	269	1126
193	269	1121
194	270	1116
195	270	1111
196	271	1106
197	271	1101
198	272	1096
199	273	1092
200	273	1087
201	274	1082
202	274	1078
203	275	1073
204	275	1069
205	276	1065
206	276	1061
207	277	1056
208	278	1052
209	278	1048
210	279	1044
211	279	1039
212	280	1035
213	280	1031
214	281	1027
215	281	1023
216	282	1019
217	283	1015
218	283	1011
219	284	1007
220	284	1003
221	285	999
222	285	996
223	286	992
224	286	988
225	287	984
226	288	981
227	288	977
228	289	973
229	289	970
230	290	966
231	290	962
232	291	958
233	291	955
234	292	951
235	292	948
236	293	944
237	294	941
238	294	938
239	295	934
240	295	931
241	296	928
242	296	924
243	297	921
244	298	918
245	298	915
246	299	912
247	299	909
248	300	906
249	301	903
250	301	900
251	302	897
252	303	894
253	303	891
254	304	888
255	304	885
256	305	882
257	305	879
258	306	876
259	306	873
260	307	870
261	308	867
262	308	864
263	309	861
264	309	858
265	310	856
266	310	853
267	311	850
268	312	848
269	312	845
270	313	842
271	313	839
272	314	837
273	315	834
274	315	831
275	316	829
276	316	826
277	317	823
278	317	821
279	318	818
280	318	815
281	319	813
282	319	810
283	320	808
284	321	805
285	321	803
286	322	800
287	322	798
288	323	795
289	323	792
290	324	790
291	324	787
292	325	785
293	326	783
294	326	780
295	327	777
296	327	775
297	328	773
298	328	770
299	329	768
300	329	766
301	330	763
302	330	761
303	331	759
304	332	756
305	332	754
306	333	752
307	333	749
308	334	747
309	334	745
310	335	742
311	335	740
312	336	738
313	336	736
314	337	733
315	337	731
316	338	729
317	339	727
318	339	725
319	340	723
320	340	721
321	341	718
322	341	716
323	342	714
324	343	712
325	343	710
326	344	708
327	344	706
328	345	704
329	345	702
330	346	699
331	346	697
332	347	695
333	347	693
334	348	691
335	349	689
336	349	687
337	350	685
338	350	683
339	351	681
340	351	680
341	352	678
342	352	676
343	353	674
344	354	672
345	354	670
346	355	668
347	355	666
348	356	664
349	356	662
350	357	660
351	357	659
352	358	657
353	359	655
354	359	653
355	360	651
356	360	649
357	361	647
358	361	645
359	362	644
360	362	642
361	363	640
362	364	638
363	364	637
364	365	635
365	365	633
366	366	631
367	366	630
368	367	628
369	368	626
370	368	625
371	369	623
372	369	621
373	370	620
374	371	618
375	371	617
376	372	615
377	373	613
378	373	611
379	374	610
380	374	608
381	375	606
382	375	605
383	376	603
384	376	601
385	377	600
386	377	598
387	378	596
388	378	595
389	379	593
390	380	591
391	380	590
392	381	588
393	381	587
394	382	585
395	382	583
396	383	582
397	384	580
398	384	579
399	385	577
400	385	576
401	386	574
402	387	573
403	387	572
404	388	570
405	389	569
406	389	567
407	390	565
408	390	564
409	391	562
410	391	561
411	392	559
412	392	558
413	393	556
414	394	555
415	394	554
416	395	552
417	395	551
418	396	549
419	397	548
420	397	546
421	398	545
422	398	544
423	399	542
424	400	541
425	400	539
426	401	538
427	401	536
428	402	535
429	402	534
430	403	532
431	404	531
432	404	530
433	405	528
434	406	527
435	406	526
436	407	525
437	408	523
438	408	522
439	409	521
440	410	519
441	411	518
442	411	517
443	412	516
444	412	515
445	413	513
446	414	512
447	414	511
448	415	509
449	416	508
450	416	507
451	417	506
452	418	504
453	418	503
454	419	502
455	419	500
456	420	499
457	421	498
458	421	496
459	422	495
460	422	494
461	423	493
462	424	492
463	424	490
464	425	489
465	425	488
466	426	486
467	427	485
468	427	484
469	428	483
470	428	481
471	429	480
472	429	479
473	430	477
474	431	476
475	431	475
476	432	473
477	432	472
478	433	471
479	433	470
480	434	468
481	435	467
482	435	466
483	436	465
484	436	463
485	437	462
486	437	461
487	438	459
488	438	458
489	439	457
490	440	456
491	440	455
492	441	453
493	441	452
494	442	451
495	443	450
496	443	448
497	444	447
498	444	446
499	445	445
500	446	444
501	446	443
502	447	441
503	447	440
504	448	439
505	449	438
506	449	437
507	450	436
508	450	434
509	451	433
510	452	432
511	452	431
512	453	430
513	454	429
514	454	428
515	455	427
516	455	425
517	456	424
518	457	423
519	457	422
520	458	421
521	458	420
522	459	418
523	459	417
524	460	416
525	461	415
526	461	414
527	462	413
528	462	412
529	463	410
530	463	409
531	464	408
532	465	407
533	465	406
534	466	405
535	466	404
536	467	402
537	468	401
538	468	400
539	469	399
540	469	398
541	470	397
542	470	396
543	471	395
544	471	394
545	472	392
546	473	391
547	473	390
548	474	389
549	474	388
550	475	387
551	475	386
552	476	385
553	476	383
554	477	382
555	478	381
556	478	380
557	479	379
558	479	378
559	480	377
560	480	376
561	481	375
562	481	374
563	482	373
564	483	371
565	483	370
566	484	369
567	484	368
568	485	367
569	485	366
570	486	365
571	486	364
572	487	363
573	488	362
574	488	361
575	489	360
576	489	359
577	490	358
578	490	357
579	491	355
580	492	354
581	492	353
582	493	352
583	493	351
584	494	350
585	494	349
586	495	348
587	495	347
588	496	346
589	497	345
590	497	344
591	498	343
592	498	342
593	499	341
594	499	340
595	500	339
596	500	338
597	501	337
598	502	336
599	502	335
600	503	334
601	503	333
602	504	332
603	504	331
604	505	329
605	505	328
606	506	327
607	506	326
608	507	325
609	508	324
610	508	323
611	509	322
612	509	321
613	510	321
614	511	320
615	512	319
616	512	318
617	513	317
618	513	316
619	514	315
620	515	314
621	515	313
622	516	312
623	516	311
624	517	310
625	517	309
626	518	308
627	518	307
628	519	306
629	520	305
630	520	304
631	521	303
632	521	302
633	522	301
634	523	300
635	523	299
636	524	298
637	525	297
638	525	296
639	526	295
640	526	295
641	527	294
642	527	293
643	528	292
644	529	291
645	529	290
646	530	289
647	530	288
648	531	287
649	531	286
650	532	285
651	532	284
652	533	283
653	534	282
654	534	281
655	535	280
656	535	279
657	536	278
658	536	277
659	537	276
660	538	275
661	538	275
662	539	274
663	539	273
664	540	272
665	540	271
666	541	270
667	542	269
668	542	268
669	543	267
670	543	266
671	544	265
672	545	264
673	545	263
674	546	263
675	547	262
676	547	261
677	548	260
678	548	259
679	549	258
680	550	257
681	550	256
682	551	255
683	552	255
684	552	254
685	553	253
686	554	252
687	554	251
688	555	250
689	556	249
690	556	248
691	557	248
692	558	247
693	558	246
694	559	245
695	560	244
696	560	243
697	561	242
698	562	242
699	562	241
700	563	240
701	564	239
702	564	238
703	565	237
704	566	236
705	566	235
706	567	235
707	567	234
708	568	233
709	569	232
710	569	231
711	570	230
712	571	229
713	571	228
714	572	228
715	572	227
716	573	226
717	574	225
718	574	224
719	575	223
720	576	222
721	576	222
722	577	221
723	578	220
724	578	219
725	579	218
726	579	217
727	580	216
728	581	216
729	581	215
730	582	214
731	583	213
732	583	212
733	584	211
734	585	210
735	585	210
736	586	209
737	586	208
738	587	207
739	588	206
740	589	205
741	589	205
742	590	204
743	590	203
744	591	202
745	592	201
746	592	200
747	593	199
748	594	199
749	594	198
750	595	197
751	596	196
752	596	195
753	597	195
754	598	194
755	599	193
756	599	192
757	600	191
758	601	190
759	601	190
760	602	189
761	603	188
762	603	187
763	604	186
764	604	185
765	605	184
766	606	184
767	606	183
768	607	182
769	608	181
770	608	180
771	609	179
772	609	179
773	610	178
774	611	177
775	611	176
776	612	175
777	612	174
778	613	174
779	613	173
780	614	172
781	615	171
782	615	170
783	616	169
784	616	168
785	617	168
786	618	167
787	618	166
788	619	165
789	619	164
790	620	163
791	621	163
792	621	162
793	622	161
794	622	160
795	623	159
796	624	158
797	624	158
798	625	157
799	626	156
800	626	155
801	627	154
802	627	154
803	628	153
804	628	152
805	629	151
806	629	150
807	630	149
808	631	149
809	631	148
810	632	147
811	633	146
812	633	145
813	634	144
814	634	144
815	635	143
816	636	142
817	636	141
818	637	140
819	637	139
820	638	139
821	638	138
822	639	137
823	639	136
824	640	135
825	641	135
826	641	134
827	642	133
828	642	132
829	643	131
830	644	130
831	644	130
832	645	129
833	645	128
834	646	127
835	647	126
836	647	126
837	648	125
838	648	124
839	649	123
840	650	122
841	650	122
842	651	121
843	651	120
844	652	119
845	653	118
846	653	118
847	654	117
848	654	116
849	655	115
850	656	114
851	656	114
852	657	113
853	657	112
854	658	111
855	659	110
856	659	110
857	660	109
858	660	108
859	661	107
860	661	106
861	662	106
862	663	105
863	663	104
864	664	103
865	664	102
866	665	102
867	665	101
868	666	100
869	667	99
870	667	98
871	668	98
872	668	97
873	669	96
874	670	95
875	670	94
876	671	94
877	671	93
878	672	92
879	672	91
880	673	90
881	674	90
882	674	89
883	675	88
884	676	87
885	676	87
886	677	86
887	678	85
888	678	84
889	679	83
890	679	83
891	680	82
892	681	81
893	681	80
894	682	80
895	682	79
896	683	78
897	683	77
898	684	76
899	685	76
900	685	75
901	686	74
902	686	73
903	687	73
904	688	72
905	688	71
906	689	70
907	689	69
908	690	69
909	691	68
910	691	67
911	692	66
912	692	66
913	693	65
914	693	64
915	694	63
916	694	62
917	695	62
918	696	61
919	696	60
920	697	59
921	697	59
922	698	58
923	698	57
924	699	56
925	699	55
926	700	55
927	700	54
928	701	53
929	702	52
930	702	52
931	703	51
932	703	50
933	704	49
934	704	49
935	705	48
936	705	47
937	706	46
938	707	45
939	707	45
940	708	44
941	708	43
942	709	42
943	709	42
944	710	41
945	710	40
946	711	39
947	711	39
948	712	38
949	713	37
950	713	36
951	714	36
952	714	35
953	715	34
954	715	33
955	716	32
956	717	32
957	717	31
958	718	30
959	718	29
960	719	29
961	719	28
962	720	27
963	721	26
964	721	26
965	722	25
966	722	24
967	723	23
968	723	23
969	724	22
970	724	21
971	725	20
972	726	20
973	726	19
974	727	18
975	727	17
976	728	17
977	728	16
978	729	15
979	730	14
980	730	14
981	731	13
982	731	12
983	732	11
984	732	11
985	733	10
986	734	9
987	734	8
988	735	8
989	735	7
990	736	6
991	736	5
992	737	5
993	738	4
994	738	3
995	739	2
996	739	2
997	740	1
998	741	0
999	741	0
